name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
crt_locale.c__crtGetStringTypeA_FUN_1000bfc0,1000bfc0,crt/locale.c,50,6,param_count_too_many|undefined_data,120
crt_locale.c___crtLCMapStringA_v2_FUN_1000c0f0,1000c0f0,crt/locale.c,76,8,param_count_too_many|undefined_data,166
crt_string.c_wcsnlen_FUN_1000c300,1000c300,crt/string.c,17,1,pointer_truncation,32
crt_locale.c___crtLCMapStringA_FUN_1000c340,1000c340,crt/locale.c,77,7,undefined_data,152
crt_string.c__strncnt_FUN_1000c570,1000c570,crt/string.c,17,1,pointer_truncation,32
crt_math.c__addl_FUN_1000c5a0,1000c5a0,crt/math.c,12,0,,12
crt_math.c__add_12_FUN_1000c5d0,1000c5d0,crt/math.c,17,0,,17
crt_math.c__shl_12_FUN_1000c640,1000c640,crt/math.c,11,0,,11
crt_math.c__shr_12_FUN_1000c680,1000c680,crt/math.c,11,0,,11
crt_math.c__mtold12_FUN_1000c6c0,1000c6c0,crt/math.c,43,3,pointer_cast,78
crt_math.c__strgtold12_FUN_1000c7b0,1000c7b0,crt/math.c,415,51,pointer_cast|pointer_truncation|undefined_data|unknown_field,945
crt_stdlib.c__atodbl_v2_FUN_1000cf00,1000cf00,crt/stdlib.c,15,4,stack_param,60
crt_stdio.c__i10_output_FUN_1000cf50,1000cf50,crt/stdio.c,183,45,concat_reconstruction|pointer_cast|pointer_truncation|unknown_field,653
crt_time.c___get_lc_time_FUN_1000d3a0,1000d3a0,crt/time.c,99,2,undefined_data,124
crt_time.c___free_lc_time_FUN_1000d720,1000d720,crt/time.c,49,0,,49
crt_time.c__maketimefmt_FUN_1000d960,1000d960,crt/time.c,66,0,,66
crt_locale.c__fix_grouping_FUN_1000dc80,1000dc80,crt/locale.c,33,0,,33
crt_locale.c___get_lc_monetary_FUN_1000ddc0,1000ddc0,crt/locale.c,40,1,undefined_data,55
crt_locale.c__fix_grouping_FUN_1000df10,1000df10,crt/locale.c,33,0,,33
crt_locale.c___free_lconv_mon_FUN_1000df60,1000df60,crt/locale.c,13,1,undefined_data,28
crt_string.c_strcspn_FUN_1000e290,1000e290,crt/string.c,54,0,,54
crt_string.c_strncmp_FUN_1000e2d0,1000e2d0,crt/string.c,43,1,unrolled_strlen,58
crt_string.c_strpbrk_FUN_1000e310,1000e310,crt/string.c,53,0,,53
crt_locale.c___get_qualified_locale_FUN_1000e350,1000e350,crt/locale.c,145,3,concat_reconstruction|pointer_cast,185
crt_locale.c_GetLcidFromLanguage_FUN_1000e650,1000e650,crt/locale.c,22,2,loop_clobbered_constant|raw_address_pointer_store,52
crt_locale.c_GetLcidFromCountry_FUN_1000e6b0,1000e6b0,crt/locale.c,22,2,loop_clobbered_constant|raw_address_pointer_store,52
crt_locale.c_GetLcidFromCountry_FUN_1000e710,1000e710,crt/locale.c,12,6,register_param|undefined_data,82
crt_locale.c_GetLcidFromDefault_FUN_1000e760,1000e760,crt/locale.c,7,0,,7
crt_locale.c_GetLcidFromLangCountry_FUN_1000e780,1000e780,crt/locale.c,29,2,undefined_data,54
crt_io.c__setmode_FUN_1000e810,1000e810,crt/io.c,16,4,pointer_cast|pointer_truncation|undefined_data,71
crt_io.c__setmode_lk_FUN_1000e880,1000e880,crt/io.c,23,3,pointer_cast|pointer_truncation|undefined_data,68
crt_math.c___multtwelve_FUN_1000e8f0,1000e8f0,crt/math.c,177,30,concat_reconstruction|pointer_cast|pointer_truncation|unknown_field,497
crt_math.c__multtenpow12_FUN_1000eba0,1000eba0,crt/math.c,41,10,concat_reconstruction|undefined_data|unknown_field,156
crt_time.c_strftime_FUN_1000ec20,1000ec20,crt/time.c,58,6,undefined_data,123
crt_time.c__expandtime_FUN_1000ed30,1000ed30,crt/time.c,155,27,undefined_data,430
crt_time.c__store_str_FUN_1000f2a0,1000f2a0,crt/time.c,12,0,,12
crt_time.c__store_number_FUN_1000f2d0,1000f2d0,crt/time.c,24,2,undefined_data,49
crt_time.c__store_number_rev_FUN_1000f360,1000f360,crt/time.c,30,0,,30
crt_time.c__expand_locale_picture_FUN_1000f3c0,1000f3c0,crt/time.c,155,8,undefined_data,240
crt_locale.c___getlocaleinfo_FUN_1000f6e0,1000f6e0,crt/locale.c,65,4,undefined_data,110
crt_stdlib.c__itoa_FUN_1000f8b0,1000f8b0,crt/stdlib.c,9,0,,9
crt_stdlib.c_xtoa_FUN_1000f8f0,1000f8f0,crt/stdlib.c,37,0,,37
crt_stdlib.c__ltoa_FUN_1000f950,1000f950,crt/stdlib.c,12,0,,12
crt_stdlib.c__ultoa_FUN_1000f980,1000f980,crt/stdlib.c,5,0,,5
crt_locale.c___crtGetLocaleInfoW_FUN_1000f9a0,1000f9a0,crt/locale.c,54,4,undefined_data,99
crt_locale.c___crtGetLocaleInfoA_FUN_1000fad0,1000fad0,crt/locale.c,54,4,undefined_data,99
crt_stdlib.c_wcstol_FUN_1000fc10,1000fc10,crt/stdlib.c,6,0,,6
crt_stdlib.c_wcstoxl_FUN_1000fc30,1000fc30,crt/stdlib.c,113,0,,113
crt_stdlib.c_wcstoul_FUN_1000fe40,1000fe40,crt/stdlib.c,6,0,,6
crt_stdlib.c_atol_FUN_1000fe60,1000fe60,crt/stdlib.c,41,2,undefined_data,66
crt_stdlib.c_atoi_FUN_1000ff10,1000ff10,crt/stdlib.c,6,0,,6
crt_string.c__stricmp_FUN_1000ff20,1000ff20,crt/string.c,66,10,concat_reconstruction|nonstandard_int|undefined_data,181
crt_time.c___tzset_FUN_1000fff0,1000fff0,crt/time.c,12,4,undefined_data,57
crt_time.c__tzset_FUN_10010050,10010050,crt/time.c,154,40,undefined_data|unrolled_memcpy|unrolled_strlen|warning_overlapping_globals,574
crt_time.c__isindst_FUN_10010330,10010330,crt/time.c,8,0,,8
crt_time.c__isindst_lk_FUN_10010360,10010360,crt/time.c,100,41,undefined_data,515
crt_time.c_cvtdate_FUN_100105c0,100105c0,crt/time.c,59,20,undefined_data|warning_overlapping_globals,269
crt_ctype.c_towupper_FUN_10010750,10010750,crt/ctype.c,25,6,undefined_data,90
crt_ctype.c__towupper_FUN_100107d0,100107d0,crt/ctype.c,27,7,stack_param|stack_ref|undefined_data,112
crt_ctype.c_iswctype_FUN_10010870,10010870,crt/ctype.c,19,2,stack_param|undefined_data,49
crt_ctype.c_is_wctype_FUN_100108f0,100108f0,crt/ctype.c,6,0,,6
crt_stdlib.c_wcstombs_FUN_10010910,10010910,crt/stdlib.c,19,5,undefined_data,74
crt_stdlib.c__wcstombs_lk_FUN_10010970,10010970,crt/stdlib.c,107,8,undefined_data,192
crt_string.c__wcsnlen_FUN_10010be0,10010be0,crt/string.c,13,1,pointer_truncation,28
crt_env.c_getenv_FUN_10010c20,10010c20,crt/env.c,8,0,,8
crt_env.c_getenv_FUN_10010c50,10010c50,crt/env.c,49,7,undefined_data|unrolled_strlen,129
crt_env.c___env_compare_FUN_10010cf0,10010cf0,crt/env.c,12,2,undefined_data,37
crt_env.c__build_ansi_environ_FUN_10010d30,10010d30,crt/env.c,29,2,undefined_data,54
crt_locale.c___crtCompareStringA_v2_FUN_10010dc0,10010dc0,crt/locale.c,78,18,register_param|undefined_data,268
crt_string.c_wcsnlen_v3_FUN_10011000,10011000,crt/string.c,17,1,pointer_truncation,32
crt_locale.c___crtCompareStringA_FUN_10011040,10011040,crt/locale.c,108,12,register_param|undefined_data,238
crt_string.c_strncnt_FUN_10011330,10011330,crt/string.c,17,1,pointer_truncation,32
crt_env.c___crtsetenv_FUN_10011360,10011360,crt/env.c,127,25,alloc_magic_size|pointer_truncation|undefined_data|unrolled_memcpy|unrolled_strlen,402
crt_env.c_findenv_FUN_100115b0,100115b0,crt/env.c,18,6,pointer_truncation|undefined_data,88
crt_env.c_copy_environ_FUN_10011610,10011610,crt/env.c,32,4,alloc_magic_size|pointer_cast|pointer_truncation,87
crt_heap.c_realloc_FUN_10011680,10011680,crt/heap.c,30,2,undefined_data,55
crt_string.c__mbschr_FUN_100116f0,100116f0,crt/string.c,32,5,concat_reconstruction|pointer_cast|pointer_truncation|undefined_data,102
crt_string.c__strdup_FUN_100117b0,100117b0,crt/string.c,13,0,,13
crt_string.c_strchr_FUN_100117f0,100117f0,crt/string.c,64,6,concat_reconstruction|pointer_cast,134
crt_string.c_strlen_FUN_100118b0,100118b0,crt/string.c,32,7,pointer_cast|pointer_truncation,112
crt_string.c_strcpy_FUN_10011930,10011930,crt/string.c,43,6,pointer_cast|pointer_truncation,113
